t,Vs
0,2983
4,0
8,3879
12,992
16,1602
20,3333
24,0
28,3885
32,997
36,1604
40,3334
44,0
48,3871
52,995
56,1601
60,3339
64,0
68,3875
72,998
76,1601
80,3339
84,0
88,3871
92,1016
96,1603
100,3339
104,0
108,3879
112,1009
116,1600
120,3335
124,0
128,3883
132,1008
136,1605
140,3335
144,0
148,3877
152,995
156,1602
160,3335
164,0
168,3877
172,992
176,1606
180,3339
184,0
188,3867
192,994
196,1606
200,3334
204,0
208,3871
212,1010
216,1603
220,3334
224,0
228,3887
232,998
236,1600
240,3331
244,0
248,3879
252,1012
256,1600
260,3335
264,0
268,3871
272,998
276,1602
280,3334
284,0
288,3875
292,992
296,1605
300,3339
304,0
308,3871
312,1002
316,1603
320,3333
324,0
328,3871
332,1010
336,1603
340,3335
344,0
348,3879
352,995
356,1602
360,3335
364,0
368,3871
372,992
376,1597
380,3327
384,0
388,3879
392,991
396,1603
400,3335
404,0
408,3871
412,1009
416,1602
420,3341
424,0
428,3879
432,994
436,1606
440,3339
444,0
448,3875
452,995
456,1607
460,3333
464,0
468,3877
472,996
476,1603
480,3339
484,0
488,3879
492,994
496,1604
500,3335
504,0
508,3879
512,1008
516,1600
520,3339
524,0
528,3875
532,991
536,1598
540,3335
544,0
548,3871
552,995
556,1607
560,3339
564,0
568,3875
572,1014
576,1600
580,3335
584,0
588,3879
592,998
596,1602
600,3339
604,0
608,3877
612,991
616,1609
620,3339
624,0
628,3875
632,994
636,1601
640,3334
644,0
648,3879
652,1002
656,1613
660,3339
664,0
668,3883
672,1010
676,1602
680,3343
684,0
688,3879
692,1008
696,1600
700,3333
704,0
708,3871
712,1002
716,1606
720,3338
724,0
728,3877
732,1009
736,1600
740,3339
744,0
748,3871
752,1000
756,1604
760,3335
764,0
768,3871
772,996
776,1603
780,3342
784,0
788,3877
792,997
796,1606
800,3333
804,0
808,3875
812,1008
816,1599
820,3341
824,0
828,3883
832,999
836,1603
840,3327
844,0
848,3875
852,1017
856,1605
860,3335
864,0
868,3886
872,1008
876,1603
880,3342
884,0
888,3878
892,1009
896,1609
900,3335
904,0
908,3879
912,1013
916,1600
920,3335
924,0
928,3871
932,1013
936,1601
940,3335
944,0
948,3875
952,1019
956,1602
960,3339
964,0
968,3879
972,998
976,1603
980,3341
984,0
988,3869
992,1013
996,1607
1000,3335
1004,0
1008,3875
1012,1008
1016,1602
1020,3339
1024,0
1028,3875
1032,992
1036,1600
1040,3345
1044,0
1048,3887
1052,994
1056,1591
1060,3327
1064,0
1068,3859
1072,1009
1076,1601
1080,3341
1084,0
1088,3875
1092,1009
1096,1602
1100,3342
1104,0
1108,3871
1112,998
1116,1603
1120,3335
1124,0
1128,3871
1132,995
1136,1602
1140,3331
1144,0
1148,3879
1152,1008
1156,1600
1160,3342
1164,0
1168,3883
1172,995
1176,1607
1180,3331
1184,0
1188,3883
1192,988
1196,1603
1200,3325
1204,0
1208,3855
1212,992
1216,1608
1220,3337
1224,0
1228,3885
1232,1013
1236,1606
1240,3335
1244,0
1248,3879
1252,995
1256,1605
1260,3334
1264,0
1268,3875
1272,1009
1276,1599
1280,3339
1284,0
1288,3883
1292,992
1296,1605
1300,3339
1304,0
1308,3879
1312,1015
1316,1600
1320,3339
1324,0
1328,3887
1332,1011
1336,1603
1340,3339
1344,0
1348,3883
1352,994
1356,1602
1360,3343
1364,0
1368,3879
1372,1012
1376,1606
1380,3335
1384,0
1388,3871
1392,998
1396,1600
1400,3339
1404,0
1408,3871
1412,1009
1416,1605
1420,3339
1424,0
1428,3883
1432,1008
1436,1600
1440,3339
1444,0
1448,3879
1452,1012
1456,1601
1460,3335
1464,0
1468,3871
1472,1008
1476,1602
1480,3335
1484,0
1488,3871
1492,1010
1496,1600
1500,3339
1504,0
1508,3887
1512,1012
1516,1605
1520,3327
1524,0
1528,3879
1532,994
1536,1609
1540,3339
1544,0
1548,3883
1552,993
1556,1603
1560,3335
1564,0
1568,3871
1572,1017
1576,1601
1580,3341
1584,0
1588,3875
1592,1001
1596,1606
1600,3339
1604,0
1608,3882
1612,995
1616,1602
1620,3335
1624,0
1628,3871
1632,1010
1636,1600
1640,3339
1644,0
1648,3877
1652,998
1656,1606
1660,3339
1664,0
1668,3877
1672,1017
1676,1607
1680,3341
1684,0
1688,3875
1692,999
1696,1597
1700,3343
1704,0
1708,3871
1712,1013
1716,1605
1720,3339
1724,0
1728,3883
1732,1000
1736,1603
1740,3339
1744,0
1748,3887
1752,997
1756,1605
1760,3339
1764,0
1768,3875
1772,1009
1776,1603
1780,3339
1784,0
1788,3869
1792,997
1796,1600
1800,3339
1804,0
1808,3879
1812,999
1816,1607
1820,3339
1824,0
1828,3879
1832,989
1836,1607
1840,3337
1844,0
1848,3877
1852,1008
1856,1597
1860,3327
1864,0
1868,3889
1872,979
1876,1590
1880,3339
1884,0
1888,3903
1892,1008
1896,1603
1900,3343
1904,0
1908,3879
1912,992
1916,1605
1920,3335
1924,0
1928,3882
1932,997
1936,1605
1940,3339
1944,0
1948,3879
1952,1008
1956,1607
1960,3339
1964,0
1968,3871
1972,994
1976,1607
1980,3339
1984,0
1988,3875
1992,1013
1996,1611
2000,3339
2004,0
2008,3871
2012,994
2016,1605
2020,3341
2024,0
2028,3855
2032,998
2036,1600
2040,3327
2044,0
2048,3875
2052,995
2056,1603
2060,3335
2064,0
2068,3879
2072,994
2076,1605
2080,3335
2084,0
2088,3871
2092,1012
2096,1599
2100,3327
2104,0
2108,3875
2112,1015
2116,1606
2120,3335
2124,0
2128,3877
2132,1013
2136,1606
2140,3327
2144,0
2148,3883
2152,999
2156,1605
2160,3331
2164,0
2168,3871
2172,1012
2176,1591
2180,3331
2184,0
2188,3879
2192,1002
2196,1598
2200,3335
2204,0
2208,3871
2212,998
2216,1600
2220,3341
2224,0
2228,3877
2232,1013
2236,1603
2240,3335
2244,0
2248,3875
2252,1004
2256,1602
2260,3339
2264,0
2268,3871
2272,1008
2276,1606
2280,3335
2284,0
2288,3878
2292,1000
2296,1603
2300,3335
2304,0
2308,3877
2312,1003
2316,1610
2320,3343
2324,0
2328,3895
2332,1002
2336,1606
2340,3341
2344,0
2348,3885
2352,1000
2356,1605
2360,3335
2364,0
2368,3875
2372,997
2376,1604
2380,3335
2384,0
2388,3879
2392,996
2396,1602
2400,3334
2404,0
2408,3879
2412,997
2416,1602
2420,3334
2424,0
2428,3879
2432,996
2436,1602
2440,3333
2444,0
2448,3883
2452,1003
2456,1600
2460,3327
2464,0
2468,3875
2472,1009
2476,1606
2480,3331
2484,0
2488,3869
2492,997
2496,1601
2500,3343
2504,0
2508,3875
2512,998
2516,1605
2520,3339
2524,0
2528,3875
2532,1008
2536,1599
2540,3335
2544,0
2548,3875
2552,1014
2556,1601
2560,3334
2564,0
2568,3877
2572,997
2576,1603
2580,3335
2584,0
2588,3883
2592,992
2596,1603
2600,3335
2604,0
2608,3877
2612,1010
2616,1601
2620,3339
2624,0
2628,3883
2632,1008
2636,1601
2640,3335
2644,0
2648,3885
2652,1010
2656,1603
2660,3333
2664,0
2668,3875
2672,1009
2676,1601
2680,3341
2684,0
2688,3875
2692,1001
2696,1606
2700,3343
2704,0
2708,3882
2712,997
2716,1607
2720,3335
2724,0
2728,3870
2732,1009
2736,1602
2740,3337
2744,0
2748,3875
2752,1008
2756,1602
2760,3335
2764,0
2768,3879
2772,1015
2776,1604
2780,3335
2784,0
2788,3875
2792,1003
2796,1602
2800,3341
2804,0
2808,3879
2812,1010
2816,1600
2820,3339
2824,0
2828,3879
2832,992
2836,1602
2840,3335
2844,0
2848,3881
2852,1008
2856,1601
2860,3339
2864,0
2868,3877
2872,1013
2876,1605
2880,3335
2884,0
2888,3863
2892,1012
2896,1602
2900,3335
2904,0
2908,3879
2912,998
2916,1602
2920,3335
2924,0
2928,3877
2932,1008
2936,1607
2940,3343
2944,0
2948,3871
2952,998
2956,1603
2960,3339
2964,0
2968,3879
2972,990
2976,1602
2980,3339
2984,0
2988,3879
2992,1002
2996,1603
3000,3335
3004,58
3008,60
3012,58
3016,1621
3020,3339
3024,0
3028,3871
3032,992
3036,1602
3040,3333
3044,0
3048,3877
3052,998
3056,1602
3060,3335
3064,0
3068,3879
3072,1008
3076,1605
3080,3339
3084,0
3088,3883
3092,997
3096,1605
3100,3339
3104,0
3108,3886
3112,1001
3116,1607
3120,3342
3124,0
3128,3875
3132,1002
3136,1605
3140,3334
3144,0
3148,3867
3152,994
3156,1602
3160,3335
3164,0
3168,3875
3172,1008
3176,1601
3180,3343
3184,0
3188,3871
3192,996
3196,1602
3200,3335
3204,0
3208,3875
3212,989
3216,1600
3220,3334
3224,0
3228,3879
3232,1001
3236,1600
3240,3343
3244,0
3248,3879
3252,1014
3256,1604
3260,3335
3264,0
3268,3883
3272,1008
3276,1601
3280,3343
3284,0
3288,3883
3292,1000
3296,1606
3300,3335
3304,0
3308,3886
3312,997
